No,Periode,IHSG
111,2021/03,5985.52
112,2021/04,5995.62
113,2021/05,5947.46
114,2021/06,5985.49
115,2021/07,6070.04
116,2021/08,6150.30
117,2021/09,6286.94
118,2021/10,6591.35
119,2021/11,6533.93
120,2021/12,6581.48
121,2022/01,6631.15
122,2022/02,6888.17
123,2022/03,7071.44
124,2022/04,7228.91
125,2022/05,7148.97
126,2022/06,6911.58
127,2022/07,6951.12
128,2022/08,7178.59
129,2022/09,7040.80
130,2022/10,7098.89
131,2022/11,7081.31
132,2022/12,6850.62
133,2023/01,6839.34
134,2023/02,6843.24
135,2023/03,6805.28
136,2023/04,6915.72
137,2023/05,6633.26
138,2023/06,6661.88
139,2023/07,6931.36
140,2023/08,6953.26
141,2023/09,6939.89
142,2023/10,6752.21
