No,Periode,% Inflasi
97,Maret 2021,1.37
98,April 2021,1.42
99,Mei 2021,1.68
100,Juni 2021,1.33
101,Juli 2021,1.52
102,Agustus 2021,1.59
103,21-Sep,1.6
104,Oktober 2021,1.66
105,21-Nov,1.75
106,Desember 2021,1.87
107,Januari 2022,2.18
108,Februari 2022,2.06
109,Maret 2022,2.64
110,April 2022,3.47
111,Mei 2022,3.55
112,Juni 2022,4.35
113,Juli 2022,4.94
114,Agustus 2022,4.69
115,22-Sep,5.95
116,Oktober 2022,5.71
117,22-Nov,5.42
118,Desember 2022,5.51
119,Januari 2023,5.28
120,Februari 2023,5.47
121,Maret 2023,4.97
122,April 2023,4.33
123,Mei 2023,4
124,Juni 2023,3.52
125,Juli 2023,3.08
126,Agustus 2023,3.27
127,Sep-23,2.28
128,Oktober 2023,2.56
