No,Periode,PBV
111,2021/03,2.661
112,2021/04,2.562
113,2021/05,2.589
114,2021/06,2.326
115,2021/07,4.51
116,2021/08,4.27
117,2021/09,3.849
118,2021/10,3.849
119,2021/11,3.84
120,2021/12,4.4
121,2022/01,4.81
122,2022/02,5
123,2022/03,5.14
124,2022/04,3.39
125,2022/05,3.493
126,2022/06,3.586
127,2022/07,3.537
128,2022/08,41
129,2022/09,40.7
130,2022/10,33.4
131,2022/11,2.706
132,2022/12,2.671
133,2023/01,2.492
134,2023/02,2021
135,2023/03,1.851
136,2023/04,0.61
137,2023/05,2.107
138,2023/06,2.077
139,2023/07,0.97
140,2023/08,0.82
141,2023/09,1.02
142,2023/10,4.01
