No,Periode,LIABILITIES
111,2021/03,13186
112,2021/04,13297
113,2021/05,13302
114,2021/06,13175
115,2021/07,14469
116,2021/08,13392
117,2021/09,13414
118,2021/10,13414
119,2021/11,13503
120,2021/12,13320
121,2022/01,13254
122,2022/02,13568
123,2022/03,13567
124,2022/04,13635
125,2022/05,13621
126,2022/06,13654
127,2022/07,13584
128,2022/08,13376
129,2022/09,13468
130,2022/10,13471
131,2022/11,13513
132,2022/12,13511
133,2023/01,13513
134,2023/02,14102
135,2023/03,14168
136,2023/04,14096
137,2023/05,14004
138,2023/06,13973
139,2023/07,14136
140,2023/08,14071
141,2023/09,14089
142,2023/10,14190
