No,Periode,EPS
111,2021/03,136.1
112,2021/04,129.8
113,2021/05,100.4
114,2021/06,131.6
115,2021/07,177.4
116,2021/08,139.3
117,2021/09,132
118,2021/10,132
119,2021/11,131.5
120,2021/12,109.5
121,2022/01,96
122,2022/02,94.2
123,2022/03,101.4
124,2022/04,112
125,2022/05,114.7
126,2022/06,121.1
127,2022/07,127.8
128,2022/08,133.8
129,2022/09,155.8
130,2022/10,166.6
131,2022/11,195.2
132,2022/12,183.4
133,2023/01,182.4
134,2023/02,184.2
135,2023/03,191.4
136,2023/04,181
137,2023/05,186.2
138,2023/06,185.9
139,2023/07,186.4
140,2023/08,182.5
141,2023/09,181.2
142,2023/10,170
