No,Periode,Inflasi,Liabilitas,EPS,PBV,NPM
1,2021/03,1.37 ,13186,136.1,2.661,-514
2,2021/04,1.42 ,13297,129.8,2.562,20
3,2021/05,1.68 ,13302,100.4,2.589,29
4,2021/06,1.33 ,13175,131.6,2.326,-494
5,2021/07,1.52 ,14469,177.4,4.51,-971
6,2021/08,1.59 ,13392,139.3,4.27,-412
7,2021/09,1.6 ,13414,132,3.849,-407
8,2021/10,1.66 ,13414,132,3.849,-407
9,2021/11,1.75 ,13503,131.5,3.84,38
10,2021/12,1.87 ,13320,109.5,4.4,-189
11,2022/01,2.18 ,13254,96,4.81,23
12,2022/02,2.06 ,13568,94.2,5,25
13,2022/03,2.64 ,13567,101.4,5.14,77
14,2022/04,3.47 ,13635,112,3.39,144
15,2022/05,3.55 ,13621,114.7,3.493,102
16,2022/06,4.35 ,13654,121.1,3.586,4
17,2022/07,4.94 ,13584,127.8,3.537,-180
18,2022/08,4.69 ,13376,133.8,41,-186
19,2022/09,5.95 ,13468,155.8,40.7,-183
20,2022/10,5.71 ,13471,166.6,33.4,-190
21,2022/11,5.42 ,13513,195.2,2.706,-174
22,2022/12,5.51 ,13511,183.4,2.671,-165
23,2023/01,5.28 ,13513,182.4,2.492,-165
24,2023/02,5.47 ,14102,184.2,2.021,-165
25,2023/03,4.97 ,14168,191.4,1.851,-283
26,2023/04,4.33 ,14096,181,0.61,27
27,2023/05,4,14004,186.2,2.107,-3455
28,2023/06,3.52 ,13973,185.9,2.077,-3448
29,2023/07,3.08 ,14136,186.4,0.97,-1999
30,2023/08,3.27 ,14071,182.5,0.82,-1039
31,2023/09,2.28 ,14089,181.2,1.02,-1021
32,2023/10,2.56 ,14190,170,4.01,-896
33,2023/11,2.86 ,1287.312,158.715,4.001,-3.809
34,2023/12,2.61 ,12872.181,157.706,4.185,-376.909
35,2024/01,2.57 ,12756.400,155.358,4.165,-18.299
36,2024/02,2.75 ,13040.177,149.901,3.09661971830986,-18.077
37,2024/03,3.05 ,13084.818,147.827,3.004,-17.711
38,2024/04,3,13641.297,115.236,2.602,-23.190
39,2024/05,2.84 ,13644.090,112.486,2.466,-73.623
40,2024/06,2.51 ,13625.522,111.305,2.391,-73.537
41,2024/07,2.13 ,13527.592,101.589,2.582,-65.891
42,2024/08,2.12 ,13715.260,103.149,2.606,-7484.752
43,2024/09,1.84 ,13644.599,102.666,2.609,-7444.137
44,2024/10,1.71 ,13594.164,82.261,2.949,-6208.534
