No,Periode,Inflasi,Liabilitas,EPS,PBV,NPM,IHSG,
1,2019/01,3.99,4816,0.5,2.203,-46,6532.97,
2,2019/02,4.53,1287,0.9,-8.254,-258,6443.35,
3,2019/03,6.7,3940,-6.2,2.115,-51,6468.76,
4,2019/04,7.32,2198,4.5,2.211,59,6455.35,
5,2019/05,7.25,576,7.2,-9.175,-146,6209.12,
6,2019/06,7.32,3649,-12.8,2.216,-203,6358.63,
7,2019/07,7.75,636,5.3,2.751,19,6390.51,
8,2019/08,8.22,413,11.5,1.685,18,6328.47,
9,2019/09,8.38,4317,-10.2,1.005,-102,6169.10,
10,2019/10,8.37,417,6.8,1.682,-2,6228.32,
11,2019/11,8.32,489,10.1,2.146,15,6011.83,
12,2019/12,8.4,4975,-21.1,1.486,-61,6299.54,
13,2020/01,8.79,1147,-33.6,1.975,-94,5940.05,
14,2020/02,8.61,1147,-33.6,1.975,-94,5452.70,
15,2020/03,5.9,1147,-33.6,1.975,-94,4538.93,
16,2020/04,5.47,18,-40.9,3.115,0.01,4716.40,
17,2020/05,5.57,19,0.001,3.14,0.01,4753.61,
18,2020/06,5.9,19,0.01,3.14,0.01,4905.39,
19,2020/07,5.31,19,0.035,3.14,0.01,5149.63,
20,2020/08,4.57,21,0.16,3.3,0.69,6073.87,
21,2020/09,4.3,21,0.16,3.3,0.01,4870.04,
22,2020/10,4.32,21,0.16,3.30,0.01,5128.23,
23,2020/11,4.61,9573,93.8,4.049,-494,5612.42,
24,2020/12,4.31,9573,93.8,4.049,-494,5979.07,
25,2021/01,4.58,13121,130.2,2.323,-4.9,5862.35,
26,2021/02,4.56,13558,131.5,2.586,-5.2,6241.80,
27,2021/03,1.37,13186,136.1,2.661,-514,5985.52,
28,2021/04,1.42,13297,129.8,2.562,20,5995.62,
29,2021/05,1.68,13302,100.4,2.589,29,5947.46,
30,2021/06,1.33,13175,131.6,2.326,-494,5985.49,
31,2021/07,1.52,14469,177.4,4.51,-971,6070.04,
32,2021/08,1.59,13392,139.3,4.27,-412,6150.3,
33,2021/09,1.6,13414,132,3.849,-407,6286.94,
34,2021/10,1.66,13414,132,3.849,-407,6591.35,
35,2021/11,1.75,13503,131.5,3.84,38,6533.93,
36,2021/12,1.87,13320,109.5,4.4,-189,6581.48,
37,2022/01,2.18,13254,96,4.81,23,6631.15,
38,2022/02,2.06,13568,94.2,5,25,6888.17,
39,2022/03,2.64,13567,101.4,5.14,77,7071.44,
40,2022/04,3.47,13635,112,3.39,144,7228.91,
41,2022/05,3.55,13621,114.7,3.493,102,7148.97,
42,2022/06,4.35,13654,121.1,3.586,4,6911.58,
43,2022/07,4.94,13584,127.8,3.537,-180,6951.12,
44,2022/08,4.69,13376,133.8,41,-186,7178.59,
45,2022/09,5.95,13468,155.8,40.7,-183,7040.8,
46,2022/10,5.71,13471,166.6,33.4,-190,7098.89,
47,2022/11,5.42,13513,195.2,2.706,-174,7081.31,
48,2022/12,5.51,13511,183.4,2.671,-165,6850.62,
49,2023/01,5.28,13513,182.4,2.492,-165,6839.34,
50,2023/02,5.47,14102,184.2,2.021,-165,6843.24,
51,2023/03,4.97,14168,191.4,1.851,-283,6805.28,
52,2023/04,4.33,14096,181,0.61,27,6915.72,
53,2023/05,4,14004,186.2,2.107,-3455,6633.26,
54,2023/06,3.52,13973,185.9,2.077,-3448,6661.88,
55,2023/07,3.08,14136,186.4,0.97,-1999,6931.36,
56,2023/08,3.27,14071,182.5,0.82,-1039,6953.26,
57,2023/09,2.28,14089,181.2,1.02,-1021,6939.89,
58,2023/10,2.56,14190,170,4.01,-896,6752.21,
59,2023/11,2.86,12874,158.7,4.001,-4,7080.74,
60,2023/12,2.61,12872,157.7,4.185,-376,7272.8,
61,2024/01,2.57,12756,155.3,4.165,-18,7207.94,
62,2024/02,2.75,13040,149.9,3.096,-18,7316.11,
63,2024/03,3.05,13084,147.8,3.004,-17,7288.81,
64,2024/04,3,13641,115.2,2.602,-23,7234.2,
65,2024/05,2.84,13644,112.4,2.466,-73,6970.74,
66,2024/06,2.51,13625,111.3,2.391,-73,7063.58,
67,2024/07,2.13,13527,101.5,2.582,-65,7255.76,
68,2024/08,2.12,13715,103.1,2.606,-7484,7670.73,
69,2024/09,1.84,13644,102.6,2.609,-7444,7527.93,
70,2024/10,1.71,13594,82.2,2.949,-6208,7574.02,
71,2024/11,1.55,13551,81.4,3.002,-6181,7114.27,
