No,Periode,Inflasi,Liabilitas,EPS,PBV,NPM,IHSG,
1,2019/01,0.356568365,0.332018545,0.175349428,0.226766318,0.975091767,0.636707325,
2,2019/02,0.428954424,0.087813992,0.177043626,0.018355755,0.947299423,0.608091194,
3,2019/03,0.719839142,0.271399903,0.146971622,0.225012456,0.974436287,0.616204738,
4,2019/04,0.802949062,0.150854612,0.192291402,0.22692576,0.988856843,0.611922856,
5,2019/05,0.793565684,0.038613245,0.203727234,0,0.961982171,0.533300338,
6,2019/06,0.802949062,0.251262888,0.119017366,0.227025411,0.954509701,0.581039658,
7,2019/07,0.860589812,0.042765207,0.195679797,0.237688092,0.983613005,0.591219107,
8,2019/08,0.923592493,0.027333749,0.221939856,0.216442451,0.983481909,0.571409413,
9,2019/09,0.945040214,0.297488063,0.130029648,0.202889885,0.967750393,0.520521745,
10,2019/10,0.943699732,0.027610546,0.202033037,0.216382661,0.98085999,0.539430998,
11,2019/11,0.936997319,0.0325929,0.216010165,0.225630294,0.983088621,0.470304617,
12,2019/12,0.94772118,0.343021244,0.08386277,0.212476333,0.973125328,0.562171914,
13,2020/01,1,0.078126081,0.030919102,0.222222222,0.968799161,0.44738489,
14,2020/02,0.975871314,0.078126081,0.030919102,0.222222222,0.968799161,0.291771505,
15,2020/03,0.612600536,0.078126081,0.030919102,0.222222222,0.968799161,0,
16,2020/04,0.554959786,0,0,0.244942701,0.981123492,0.056667092,
17,2020/05,0.568364611,6.91994E-05,0.173235917,0.245440957,0.981123492,0.068548439,
18,2020/06,0.612600536,6.91994E-05,0.173274036,0.245440957,0.981123492,0.117012581,
19,2020/07,0.533512064,6.91994E-05,0.173379924,0.245440957,0.981123492,0.194999681,
20,2020/08,0.434316354,0.000207598,0.17390936,0.248629796,0.981212638,0.490114311,
21,2020/09,0.398123324,0.000207598,0.17390936,0.248629796,0.981123492,0.105725142,
22,2020/10,0.40080429,0.000207598,0.17390936,0.248629796,0.981123492,0.18816655,
23,2020/11,0.439678284,0.661199917,0.570520966,0.263557549,0.916360776,0.34277093,
24,2020/12,0.399463807,0.661199917,0.570520966,0.263557549,0.916360776,0.459844179,
25,2021/01,0.435656836,0.906719258,0.724692927,0.229157947,0.980479811,0.422574877,
26,2021/02,0.432975871,0.93695938,0.730199068,0.234399601,0.980440482,0.543735232,
27,2021/03,0.00536193,0.911217217,0.749682338,0.23589437,0.913738857,0.461903698,
