No,Periode,IHSG
1,01-2009,1332,67
2,02-2009,1285,48
3,03-2009,1434,07
4,04-2009,1722,77
5,05-2009,1916,83
6,06-2009,2026,78
7,07-2009,2323,24
8,08-2009,2341,54
9,09-2009,2467,59
10,10-2009,2367,70
11,11-2009,2415,84
12,12-2009,2534,36
13,01-2010,2610,80
14,02-2010,2549,03
15,03-2010,2777,30
16,04-2010,2971,25
17,05-2010,2796,96
18,06-2010,2913,68
19,07-2010,3069,28
20,08-2010,3081,88
21,09-2010,3501,30
22,10-2010,3635,32
23,11-2010,3531,21
24,12-2010,3703,51
25,01-2011,3409,17
26,02-2011,3470,35
27,03-2011,3678,67
28,04-2011,3819,62
29,05-2011,3836,97
30,06-2011,3888,57
31,07-2011,4130,80
32,08-2011,3841,73
33,09-2011,3549,03
34,10-2011,3790,85
35,11-2011,3715,08
36,12-2011,3821,99
37,01-2012,3941,69
38,02-2012,3985,21
39,03-2012,4121,55
40,04-2012,4180,73
41,05-2012,3832,82
42,06-2012,3955,58
43,07-2012,4142,34
44,08-2012,4060,33
45,09-2012,4262,56
46,10-2012,4350,29
47,11-2012,4276,14
48,12-2012,4316,69
49,01-2013,4453,70
50,02-2013,4795,79
51,03-2013,4940,99
52,04-2013,5034,07
53,05-2013,5068,63
54,06-2013,4818,90
55,07-2013,4610,38
56,08-2013,4195,09
57,09-2013,4316,18
58,10-2013,4510,63
59,11-2013,4265,44
60,12-2013,4274,18
61,01-2014,4418,76
62,02-2014,4620,22
63,03-2014,4768,28
64,04-2014,4840,15
65,05-2014,4893,91
66,06-2014,4878,58
67,07-2014,5088,80
68,08-2014,5136,86
69,09-2014,5137,58
70,10-2014,5089,55
71,11-2014,5149,89
72,12-2014,5226,95
73,01-2015,5289,40
74,02-2015,5450,29
75,03-2015,5518,68
76,04-2015,5086,43
77,05-2015,5216,38
78,06-2015,4910,66
79,07-2015,4802,53
80,08-2015,4509,61
81,09-2015,4223,91
82,10-2015,4455,18
83,11-2015,4446,46
84,12-2015,4593,01
85,01-2016,4615,16
86,02-2016,4770,96
87,03-2016,4845,37
88,04-2016,4838,58
89,05-2016,4796,87
90,06-2016,5016,65
91,07-2016,5215,99
92,08-2016,5386,00
93,09-2016,5364,80
94,10-2016,5422,54
95,11-2016,5148,91
96,12-2016,5296,71
97,01-2017,5294,10
98,02-2017,5386,69
99,03-2017,5568,11
100,04-2017,5685,30
101,05-2017,5738,15
102,06-2017,5829,71
103,07-2017,5840,94
104,08-2017,5864,06
105,09-2017,5900,85
106,10-2017,6005,78
107,11-2017,5952,14
108,12-2017,6355,65
109,01-2018,6605,63
110,02-2018,6597,22
111,03-2018,6188,99
112,04-2018,5994,60
113,05-2018,5983,59
114,06-2018,5799,24
115,07-2018,5936,44
116,08-2018,6018,46
117,09-2018,5976,55
118,10-2018,5831,65
119,11-2018,6056,12
120,12-2018,6194,50
121,01-2019,6532,97
122,02-2019,6443,35
123,03-2019,6468,76
124,04-2019,6455,35
125,05-2019,6209,12
126,06-2019,6358,63
127,07-2019,6390,51
128,08-2019,6328,47
129,09-2019,6169,10
130,10-2019,6228,32
131,11-2019,6011,83
132,12-2019,6299,54
133,01-2020,5940,05
134,02-2020,5452,70
135,03-2020,4538,93
136,04-2020,4716,40
137,05-2020,4753,61
138,06-2020,4905,39
139,07-2020,5149,63
140,08-2020,6073,87
141,09-2020,4870,04
142,10-2020,5128,23
143,11-2020,5612,42
144,12-2020,5979,07
145,01-2021,5862,35
146,02-2021,6241,80
147,03-2021,5985.52
148,04-2021,5995.62
149,05-2021,5947.46
150,06-2021,5985.49
151,07-2021,6070.04
152,08-2021,6150.30
153,09-2021,6286.94
154,10-2021,6591.35
155,11-2021,6533.93
156,12-2021,6581.48
157,01-2022,6631.15
158,02-2022,6888.17
159,03-2022,7071.44
160,04-2022,7228.91
161,05-2022,7148.97
162,06-2022,6911.58
163,07-2022,6951.12
164,08-2022,7178.59
165,09-2022,7040.80
166,10-2022,7098.89
167,11-2022,7081.31
168,12-2022,6850.62
169,01-2023,6839.34
170,02-2023,6843.24
171,03-2023,6805.28
172,04-2023,6915.72
173,05-2023,6633.26
174,06-2023,6661.88
175,07-2023,6931.36
176,08-2023,6953.26
177,09-2023,6939.89
178,10-2023,6752.21
179,11-2023,7080,74
180,12-2023,7272,80
181,01-2024,7207,94
182,02-2024,7316,11
183,03-2024,7288,81
184,04-2024,7234,20
185,05-2024,6970,74
186,06-2024,7063,58
187,07-2024,7255,76
188,08-2024,7670,73
,,
,,
,,
