No;Periode;IHSG
1;03-2021;5985.52
2;04-2021;5995.62
3;05-2021;5947.46
4;06-2021;5985.49
5;07-2021;6070.04
6;08-2021;6150.30
7;09-2021;6286.94
8;10-2021;6591.35
9;11-2021;6533.93
10;12-2021;6581.48
11;01-2022;6631.15
12;02-2022;6888.17
13;03-2022;7071.44
14;04-2022;7228.91
15;05-2022;7148.97
16;06-2022;6911.58
17;07-2022;6951.12
18;08-2022;7178.59
19;09-2022;7040.80
20;10-2022;7098.89
21;11-2022;7081.31
22;12-2022;6850.62
23;01-2023;6839.34
24;02-2023;6843.24
25;03-2023;6805.28
26;04-2023;6915.72
27;05-2023;6633.26
28;06-2023;6661.88
29;07-2023;6931.36
30;08-2023;6953.26
31;09-2023;6939.89
32;10-2023;6752.21
33;11-2023;7080.74
34;12-2023;7272.8
35;01-2024;7207.94
36;02-2024;7316.11
37;03-2024;7288.81
38;04-2024;7234.2
39;05-2024;6970.74
40;06-2024;7063.58
41;07-2024;7255.76
42;08-2024;7670.73
43;09-2024;7527.93
