No;Periode;% Inflasi;;;;;
1;Jan-09;9.17;;;;;
2;Feb-09;8.6;;;;;
3;Mar-09;7.92;;;;;
4;Apr-09;7.31;;;;;
5;May-09;6.04;;;;;
6;Jun-09;3.65;;;;;
7;Jul-09;2.71;;;;;
8;Aug-09;2.75;;;;;
9;Sep-09;2.83;;;;;
10;Oct-09;2.57;;;;;
11;Nov-09;2.41;;;;;
12;Dec-09;2.78;;;;;
13;Jan-10;3.72;;;;;
14;Feb-10;3.81;;;;;
15;Mar-10;3.43;;;;;
16;Apr-10;3.91;;;;;
17;May-10;4.16;;;;;
18;Jun-10;5.05;;;;;
19;Jul-10;6.22;;;;;
20;Aug-10;6.44;;;;;
21;Sep-10;5.8;;;;;
22;Oct-10;5.67;;;;;
23;Nov-10;6.33;;;;;
24;Dec-10;6.96;;;;;
25;Jan-11;7.02;;;;;
26;Feb-11;6.84;;;;;
27;Mar-11;6.65;;;;;
28;Apr-11;6.16;;;;;
29;May-11;5.98;;;;;
30;Jun-11;5.54;;;;;
31;Jul-11;4.61;;;;;
32;Aug-11;4.79;;;;;
33;Sep-11;4.61;;;;;
34;Oct-11;4.42;;;;;
35;Nov-11;4.15;;;;;
36;Dec-11;3.79;;;;;
37;Jan-12;3.65;;;;;
38;Feb-12;3.56;;;;;
39;Mar-12;3.97;;;;;
40;Apr-12;4.5;;;;;
41;May-12;4.45;;;;;
42;Jun-12;4.53;;;;;
43;Jul-12;4.56;;;;;
44;Aug-12;4.58;;;;;
45;Sep-12;4.31;;;;;
46;Oct-12;4.61;;;;;
47;Nov-12;4.32;;;;;
48;Dec-12;4.3;;;;;
49;Jan-13;4.57;;;;;
50;Feb-13;5.31;;;;;
51;Mar-13;5.9;;;;;
52;Apr-13;5.57;;;;;
53;May-13;5.47;;;;;
54;Jun-13;5.9;;;;;
55;Jul-13;8.61;;;;;
56;Aug-13;8.79;;;;;
57;Sep-13;8.4;;;;;
58;Oct-13;8.32;;;;;
59;Nov-13;8.37;;;;;
60;Dec-13;8.38;;;;;
61;Jan-14;8.22;;;;;
62;Feb-14;7.75;;;;;
63;Mar-14;7.32;;;;;
64;Apr-14;7.25;;;;;
65;May-14;7.32;;;;;
66;Jun-14;6.7;;;;;
67;Jul-14;4.53;;;;;
68;Aug-14;3.99;;;;;
69;Sep-14;4.53;;;;;
70;Oct-14;4.83;;;;;
71;Nov-14;6.23;;;;;
72;Dec-14;8.36;;;;;
73;Jan-15;6.96;;;;;
74;Feb-15;6.29;;;;;
75;Mar-15;6.38;;;;;
76;Apr-15;6.79;;;;;
77;May-15;7.15;;;;;
78;Jun-15;7.26;;;;;
79;Jul-15;7.26;;;;;
80;Aug-15;7.18;;;;;
81;Sep-15;6.83;;;;;
82;Oct-15;6.25;;;;;
83;Nov-15;4.89;;;;;
84;Dec-15;3.35;;;;;
85;Jan-16;4.14;;;;;
86;Feb-16;4.42;;;;;
87;Mar-16;4.45;;;;;
88;Apr-16;3.6;;;;;
89;May-16;3.33;;;;;
90;Jun-16;3.45;;;;;
91;Jul-16;3.21;;;;;
92;Aug-16;2.79;;;;;
93;Sep-16;3.07;;;;;
94;Oct-16;3.31;;;;;
