No,Periode,NPM%
111,2021/03,-514
112,2021/04,20
113,2021/05,29
114,2021/06,-494
115,2021/07,-971
116,2021/08,-412
117,2021/09,-407
118,2021/10,-407
119,2021/11,38
120,2021/12,-189
121,2022/01,23
122,2022/02,25
123,2022/03,77
124,2022/04,144
125,2022/05,102
126,2022/06,4
127,2022/07,-180
128,2022/08,-186
129,2022/09,-183
130,2022/10,-190
131,2022/11,-174
132,2022/12,-165
133,2023/01,-165
134,2023/02,-165
135,2023/03,-283
136,2023/04,27
137,2023/05,-3455
138,2023/06,-3448
139,2023/07,-1999
140,2023/08,-1039
141,2023/09,-1021
142,2023/10,-896
